Britain|Albion,Blighty
antecedent|anterior,birth,precursory,predecessor,preexisting,progenitor,record,stirps
antediluvian|antwacky,clunky,early,mossy,passé,prehistoric,primigenial
anteroom|foyer,narthex
anthology|florilegium,garland,pot-pourri
anticipate|apprehend,intercept,second-guess
anticipation|against,forecast,hopefulness,prolepsis,suspense
anticlimax|bathos,disillusionment,nonevent
antics|buffoonery,didoes,frolics,harlequinades
antidote|antiserum,counteragent,remedy,solution,theriac
antipathy|allergy,disrelish,grudge,odium
antiquated|antwacky,moldy,mossy,prehistoric
antique|antwacky,bygone,classic,classical,collectable,curio,heirloom,moldy,mossy,passé,prehistoric
antiquity|ancientness,bygone,curio,yesteryear
antiseptic|bactericidal,bactericide,institutional,medicated,sanitized,uninspiring,unpolluted
antisocial|distasteful,rebellious,reclusive,sociopathic
antithesis|obverse,opposition
antithetical|obverse,oppugnant,unlike
anxiety|suspense,twitchiness,worriment,yearning
anxious|dying,flurried,toey,unquiet
anyhow|anyways,regardless
apart|asunder,divorced,up
apartment|accommodation,chambers,crib,flat
apathetic|couldn't-care-less,half-arsed,half-assed,inert,noncommittal,pococurante,unambitious
apathy|accidie,coolness,mopery,torpor
ape|anthropoid,caricature,monkey,parrot,simian
aperture|foramen,interstice
apex|apotheosis,fastigium,vertex
aphorism|apothegm,formula,motto
aphrodisiac|horny,philter,stimulant,venereous
apiece|separately,severally
aplomb|nonchalance,unflappability
apocalyptic|huge,momentous,world-shaking
apocryphal|legendary,spurious,unsupported
apologetic|compunctious,self-reproachful
apologia|apology,case,plea
apology|apols,beg-pardon,vindication
apostasy|desertion,heresy,recantation,recreancy
apostate|nonconformist,schismatic,tergiversator,turncoat
apostle|believer,booster,champion,follower,pioneer,reformer,teacher
appall|alarm,offend
appalling|abject,egregious,hellacious,nauseating,poxy,unpardonable,unsatisfactory
apparatus|contraption,gubbins,machinery,network,paraphernalia,stuff
apparel|costume,garms,habiliments,rig-out,threads,vestments,wardrobe
apparent|feigned,indisputable,observable,ostensive
apparently|ostensively,reputedly
apparition|Doppelgänger,advent,bodach,duppy,emergence,hallucination,manes,presence,spook,visitation,wight
appeal|beg,enticement,impetrate,invoke,lobby,obsecration,orison,pull,re-examination,sue,suit
appealing|bonny,delightful,desirable,irresistible,pleasurable,seductive,taking
appearance|development,evidently,illusion,image,surfacing
appease|diminish,humor,indulge,quiet,sweeten
appeasement|dovishness,provision,reconciliation,satiation,soothing,sweetening
appellation|cognomen,handle,nickname
appendage|leg,member,organ,peripheral,process
appendix|appendage,codicil,postlude
appertain|regard,touch
appetite|ache,appetency,ardor,eagerness,esurience,palate,partiality,relish,stomach,yen
appetizer|amuse-gueule,antipasto,namkeen,snack
appetizing|ambrosian,beguiling,lush,peng,tempting,toothsome
applause|bravos,encores,eulogy,kudos,laudation,tributes
appliance|aid,praxis
applicable|appurtenant,connected
applicant|auditioner,entrant,job-hunter,possible
application|demand,endeavor,endurance,importance,praxis,sedulousness,smearing,unguent,use
apply|audition,persist,toil,touch
appoint|co-opt,decree,detail
appointed|decreed,supplied
appointment|co-option,detailing,fixture,session,station,tryst,tweetup
apportionment|dispensation,ration
apposite|appurtenant,befitting,felicitous
appraisal|consideration,survey
appraise|consider,quote,survey
appreciable|marked,visible
